¡Que me van a hablar de amor!;Danza;09/02/2018;09/02/2018;22;Espanyol;Barakaldo
¡Tutta Forza!: Musica en Accion contra el Cancer;Concierto;10/01/2018;10/01/2018;22;Espanyol;Pamplona/Irunya
A donde vamos?;Proyeccion audiovisual;19/01/2018;19/01/2018;Gratis;Espanyol;Igorre
A quien pertenecen nuestros datos?;Jornada;12/06/2018;12/06/2018;27;Espanyol;Donostia / San Sebastian
Como fotografiar en tus viajes?;Curso-taller;28/09/2018;28/09/2018;6;Espanyol;Vitoria-Gasteiz
Como leer la oscuridad con Helène Cixous?. Taller dirigido por la poeta Zayneb Allak;Jornada;14/06/2018;14/06/2018;27;Espanyol;Vitoria-Gasteiz
Como vender la muerte?;Teatro;23/11/2018;16/12/2018;22;Espanyol;Bilbao
Conoces a...? Arte en Familia;Actividad infantil;10/11/2018;10/11/2018;34;Espanyol;Barakaldo
Cual es mi nombre?;Teatro;08/12/2018;09/12/2018;9;Espanyol;Pamplona/Irunya
Donde esta Merce?;Teatro;30/03/2018;30/03/2018;9;Espanyol;Durango
Es o no es?, exposicion de fondos de la coleccion de Arte Contemporaneo del Ayuntamiento de Pamplona y de fondos de la Coleccion Pi Fernandino;Exposicion;30/10/2018;10/03/2019;15;Espanyol;Pamplona/Irunya
Me merezco esto?;Teatro;19/10/2018;19/10/2018;6;Espanyol;Arrigorriaga
Por que lloras, Marie?;Teatro;02/07/2018;02/07/2018;27;Espanyol;Vitoria-Gasteiz
Puede el arte parar una bala?, mural de William Kelly;Exposicion;21/09/2018;17/03/2019;15;Espanyol;Gernika-Lumo
Puedo decidir no depilarme mas?, exposicion de ilustraciones de Rocio Salazar;Exposicion;26/02/2018;09/03/2018;Gratis;Espanyol;Igorre
Que es la musica para ti?;Concierto;26/01/2018;26/01/2018;Gratis;Espanyol;Donostia / San Sebastian
Que hacen los animales en invierno? Cuento teatralizado;Actividad infantil;04/01/2018;04/01/2018;Gratis;Espanyol;Donostia / San Sebastian
Que pasa con la tecnologia? Encuentro sobre conducta y tecnologia;Jornada;29/11/2018;29/11/2018;10;Espanyol;Donostia / San Sebastian
